,clase,veil-color,ring-type,population,habitat
1150,e,w,p,y,p
1151,p,w,p,v,g
1152,e,w,e,a,g
1153,p,w,p,v,g
1154,e,w,p,s,m
1155,e,w,e,s,g
1156,e,w,e,a,g
1157,e,w,e,s,g
1158,e,w,e,s,g
1159,e,w,p,n,g
1160,e,w,e,s,g
1161,e,w,p,v,d
1162,e,w,p,s,p
1163,e,w,e,s,g
1164,e,w,p,n,m
1165,p,w,p,v,g
1166,e,w,p,y,d
1167,e,w,e,s,g
1168,e,w,p,n,m
1169,e,w,e,s,g
1170,e,w,p,v,d
1171,e,w,e,a,g
1172,e,w,p,v,u
1173,e,w,p,v,u
1174,e,w,p,y,u
1175,e,w,p,s,m
1176,e,w,p,v,u
1177,e,w,e,a,g
1178,e,w,p,s,p
1179,e,w,p,y,p
1180,e,w,p,y,g
1181,e,w,e,a,g
1182,e,w,p,n,g
1183,e,w,p,s,g
1184,e,w,e,a,g
1185,e,w,e,a,g
1186,p,w,p,v,u
1187,e,w,p,s,g
1188,e,w,e,s,g
1189,e,w,e,s,g
1190,e,w,p,s,m
1191,e,w,p,v,d
1192,e,w,p,s,p
1193,e,w,p,n,g
1194,p,w,p,s,g
1195,e,w,e,s,g
1196,e,w,p,n,m
1197,e,w,p,n,g
1198,e,w,p,s,m
1199,e,w,p,n,g
1200,e,w,p,n,g
1201,e,w,p,n,g
1202,e,w,e,s,g
1203,p,w,p,s,g
1204,e,w,e,a,g
1205,e,w,e,a,g
1206,p,w,p,s,u
1207,e,w,e,a,g
1208,e,w,e,s,g
1209,e,w,e,a,g
1210,e,w,e,a,g
1211,e,w,p,y,g
1212,e,w,e,a,g
1213,e,w,e,a,g
1214,p,w,p,v,g
1215,e,w,e,a,g
1216,e,w,e,s,g
1217,e,w,e,a,g
1218,e,w,e,s,g
1219,e,w,p,s,g
1220,e,w,e,s,g
1221,e,w,e,a,g
1222,e,w,e,s,g
1223,e,w,e,a,g
1224,e,w,e,s,g
1225,e,w,p,v,d
1226,e,w,e,a,g
1227,p,w,p,v,g
1228,e,w,p,y,d
1229,e,w,e,s,g
1230,p,w,p,s,g
1231,e,w,e,a,g
1232,e,w,e,a,g
1233,e,w,e,a,g
1234,e,w,e,a,g
1235,e,w,e,a,g
1236,e,w,e,s,g
1237,e,w,e,s,g
1238,e,w,e,s,g
1239,p,w,p,v,u
1240,e,w,e,a,g
1241,p,w,p,s,g
1242,p,w,p,s,u
1243,e,w,e,s,g
1244,e,w,e,a,g
1245,e,w,e,a,g
1246,e,w,e,a,g
1247,e,w,e,a,g
1248,e,w,e,a,g
1249,e,w,p,y,d
1250,e,w,p,v,d
1251,e,w,e,a,g
1252,p,w,p,v,g
1253,p,w,p,s,g
1254,e,w,e,a,g
1255,p,w,p,s,g
1256,e,w,e,s,g
1257,e,w,e,a,g
1258,p,w,p,v,g
1259,p,w,p,v,g
1260,p,w,p,v,g
1261,p,w,p,s,g
1262,e,w,e,a,g
1263,e,w,p,v,d
1264,e,w,e,a,g
1265,e,w,e,a,g
1266,p,w,p,v,u
1267,e,w,e,s,g
1268,e,w,p,y,d
1269,e,w,e,s,g
1270,e,w,e,s,g
1271,p,w,p,s,g
1272,e,w,e,a,g
1273,e,w,e,s,g
1274,p,w,p,s,u
1275,e,w,e,a,g
1276,e,w,e,s,g
1277,e,w,e,s,g
1278,e,w,e,s,g
1279,e,w,p,n,m
1280,e,w,e,a,g
1281,e,w,e,s,g
1282,e,w,e,s,g
1283,e,w,e,a,g
1284,e,w,e,a,g
1285,p,w,p,s,u
1286,e,w,e,s,g
1287,e,w,p,y,d
1288,e,w,e,a,g
1289,e,w,p,v,d
1290,e,w,e,a,g
1291,e,w,e,a,g
1292,p,w,p,v,g
1293,p,w,p,v,g
1294,e,w,e,a,g
1295,e,w,p,v,d
1296,e,w,e,s,g
1297,e,w,p,s,p
1298,e,w,e,a,g
1299,e,w,e,a,g
1300,e,w,e,a,g
1301,e,w,e,s,g
1302,e,w,p,y,d
1303,e,w,e,a,g
1304,e,w,e,s,g
1305,e,w,e,s,g
1306,e,w,e,s,g
1307,e,w,e,a,g
1308,e,w,e,s,g
1309,e,w,e,s,g
1310,e,w,e,a,g
1311,p,w,p,s,g
1312,e,w,e,a,g
1313,e,w,p,n,g
1314,e,w,e,s,g
1315,e,w,e,s,g
1316,e,w,p,y,d
1317,e,w,p,s,m
1318,e,w,e,s,g
1319,e,w,p,y,d
1320,p,w,p,s,g
1321,e,w,e,s,g
1322,p,w,p,s,u
1323,e,w,e,a,g
1324,e,w,e,a,g
1325,e,w,p,n,g
1326,e,w,e,a,g
1327,e,w,e,a,g
1328,e,w,e,s,g
1329,e,w,e,s,g
1330,e,w,e,a,g
1331,p,w,p,v,g
1332,e,w,e,a,g
1333,e,w,e,a,g
1334,e,w,p,y,d
1335,e,w,e,a,g
1336,e,w,p,y,d
1337,e,w,p,n,g
1338,e,w,e,s,g
1339,e,w,e,a,g
1340,e,w,e,a,g
1341,p,w,p,s,u
1342,e,w,p,y,d
1343,e,w,e,s,g
1344,e,w,e,a,g
1345,p,w,p,v,g
1346,e,w,e,s,g
1347,e,w,p,y,d
1348,e,w,p,v,d
1349,e,w,p,v,d
1350,e,w,e,s,g
1351,e,w,e,s,g
1352,e,w,e,a,g
1353,e,w,e,a,g
1354,e,w,e,a,g
1355,e,w,e,s,g
1356,e,w,e,a,g
1357,e,w,e,a,g
1358,e,w,e,s,g
1359,e,w,e,a,g
1360,p,w,p,v,u
1361,e,w,e,a,g
1362,e,w,e,s,g
1363,e,w,e,a,g
1364,e,w,e,s,g
1365,e,w,e,a,g
1366,e,w,e,a,g
1367,e,w,p,v,d
1368,e,w,e,a,g
1369,e,w,e,s,g
1370,e,w,e,s,g
1371,e,w,e,s,g
1372,e,w,p,s,g
1373,p,w,p,s,g
1374,p,w,p,v,g
1375,e,w,e,s,g
1376,e,w,e,s,g
1377,p,w,p,s,g
1378,e,w,e,s,g
1379,p,w,p,v,u
1380,e,w,e,a,g
1381,p,w,p,v,u
1382,e,w,e,a,g
1383,e,w,e,a,g
1384,e,w,e,a,g
1385,e,w,e,s,g
1386,e,w,p,v,d
1387,e,w,p,v,d
1388,e,w,e,s,g
1389,e,w,p,y,d
1390,e,w,e,s,g
1391,e,w,e,a,g
1392,e,w,e,s,g
1393,e,w,e,s,g
1394,e,w,p,y,d
1395,e,w,e,s,g
1396,e,w,e,s,g
1397,e,w,e,s,g
1398,p,w,p,s,g
1399,e,w,e,s,g
1400,e,w,p,y,g
1401,e,w,p,y,d
1402,e,w,e,a,g
1403,e,w,e,a,g
1404,p,w,p,s,u
1405,e,w,e,a,g
1406,e,w,e,a,g
1407,e,w,e,a,g
1408,e,w,e,s,g
1409,e,w,e,s,g
1410,e,w,e,s,g
1411,e,w,e,a,g
1412,e,w,e,a,g
1413,e,w,e,a,g
1414,e,w,e,a,g
1415,e,w,p,s,m
1416,e,w,e,a,g
1417,e,w,e,s,g
1418,e,w,e,a,g
1419,p,w,p,s,u
1420,e,w,e,s,g
1421,e,w,p,v,d
1422,e,w,e,s,g
1423,e,w,e,a,g
1424,e,w,e,a,g
1425,e,w,e,s,g
1426,e,w,e,s,g
1427,e,w,p,s,p
1428,p,w,p,v,u
1429,e,w,e,s,g
1430,e,w,p,v,d
1431,p,w,p,s,g
1432,p,w,p,s,u
1433,p,w,p,s,u
1434,e,w,p,y,d
1435,e,w,p,n,m
1436,p,w,p,s,g
1437,e,w,e,a,g
1438,e,w,e,s,g
1439,e,w,p,y,d
1440,e,w,e,a,g
1441,e,w,e,s,g
1442,e,w,e,s,g
1443,p,w,p,s,u
1444,p,w,p,v,g
1445,e,w,e,s,g
1446,e,w,e,s,g
1447,e,w,p,v,d
1448,e,w,e,s,g
1449,e,w,e,a,g
1450,p,w,p,v,u
1451,e,w,e,a,g
1452,p,w,p,v,g
1453,e,w,e,a,g
1454,e,w,e,s,g
1455,e,w,e,a,g
1456,e,w,p,y,d
1457,e,w,e,s,g
1458,p,w,p,s,u
1459,e,w,p,v,d
1460,e,w,e,s,g
1461,e,w,e,s,g
1462,e,w,p,v,d
1463,e,w,e,s,g
1464,e,w,p,v,d
1465,e,w,p,y,d
1466,e,w,p,v,d
1467,e,w,e,a,g
1468,e,w,e,s,g
1469,e,w,p,y,d
1470,e,w,e,a,g
1471,p,w,p,v,u
1472,e,w,e,s,g
1473,e,w,e,a,g
1474,e,w,e,s,g
1475,e,w,e,a,g
1476,e,w,e,a,g
1477,p,w,p,s,g
1478,e,w,e,s,g
1479,e,w,e,a,g
1480,e,w,e,s,g
1481,e,w,e,s,g
1482,e,w,e,a,g
1483,e,w,p,y,g
1484,p,w,p,v,u
1485,e,w,e,a,g
1486,e,w,e,s,g
1487,e,w,e,s,g
1488,p,w,p,s,g
1489,e,w,e,s,g
1490,p,w,p,s,u
1491,e,w,e,s,g
1492,e,w,e,s,g
1493,e,w,e,a,g
1494,e,w,e,s,g
1495,e,w,e,s,g
1496,e,w,e,s,g
1497,e,w,e,a,g
1498,e,w,e,s,g
1499,e,w,e,a,g
1500,e,w,p,n,m
1501,e,w,e,s,g
1502,e,w,e,a,g
1503,e,w,e,a,g
1504,e,w,p,y,d
1505,p,w,p,s,u
1506,e,w,p,y,d
1507,e,w,e,a,g
1508,e,w,p,y,d
1509,e,w,e,a,g
1510,e,w,e,s,g
1511,e,w,e,a,g
1512,e,w,p,s,m
1513,e,w,p,v,d
1514,e,w,e,a,g
1515,e,w,e,a,g
1516,e,w,e,s,g
1517,e,w,p,s,g
1518,e,w,e,s,g
1519,e,w,p,s,g
1520,e,w,e,s,g
1521,e,w,e,a,g
1522,e,w,e,s,g
1523,e,w,e,a,g
1524,e,w,e,s,g
1525,e,w,p,y,d
1526,e,w,e,s,g
1527,e,w,p,n,m
1528,e,w,e,a,g
1529,p,w,p,s,u
1530,e,w,e,s,g
1531,p,w,p,s,u
1532,e,w,e,s,g
1533,e,w,e,s,g
1534,p,w,p,s,g
1535,e,w,e,a,g
1536,p,w,p,s,u
1537,e,w,e,s,g
1538,e,w,e,s,g
1539,p,w,p,v,g
1540,e,w,e,a,g
1541,e,w,e,a,g
1542,e,w,e,s,g
1543,e,w,e,a,g
1544,e,w,p,y,d
1545,p,w,p,s,u
1546,e,w,e,s,g
1547,e,w,p,y,g
1548,e,w,e,a,g
1549,e,w,e,a,g
1550,e,w,p,n,m
1551,e,w,e,a,g
1552,e,w,e,a,g
1553,e,w,e,a,g
1554,p,w,p,s,u
1555,e,w,e,a,g
1556,e,w,p,n,g
1557,e,w,e,a,g
1558,e,w,e,s,g
1559,e,w,e,a,g
1560,e,w,e,s,g
1561,e,w,e,a,g
1562,e,w,p,v,d
1563,e,w,p,n,m
1564,e,w,p,v,d
1565,p,w,p,s,g
1566,e,w,e,a,g
1567,p,w,p,v,u
1568,e,w,e,a,g
1569,e,w,e,a,g
1570,e,w,e,a,g
1571,e,w,e,a,g
1572,e,w,e,s,g
1573,e,w,p,s,g
1574,e,w,e,a,g
1575,e,w,e,s,g
1576,p,w,p,v,g
1577,e,w,e,a,g
1578,p,w,p,s,g
1579,e,w,e,a,g
1580,e,w,p,v,d
1581,e,w,e,s,g
1582,p,w,p,v,u
1583,e,w,e,s,g
1584,p,w,p,v,u
1585,e,w,p,v,d
1586,e,w,e,s,g
1587,e,w,p,s,p
1588,e,w,e,s,g
1589,e,w,e,a,g
1590,e,w,e,s,g
1591,e,w,e,s,g
1592,e,w,e,a,g
1593,e,w,e,s,g
1594,e,w,e,a,g
1595,e,w,p,v,d
1596,e,w,e,a,g
1597,e,w,e,s,g
1598,e,w,p,s,g
1599,e,w,p,y,d
1600,e,w,e,a,g
1601,e,w,e,s,g
1602,e,w,e,a,g
1603,e,w,e,s,g
1604,e,w,e,a,g
1605,e,w,e,a,g
1606,e,w,e,s,g
1607,e,w,p,y,d
1608,e,w,e,s,g
1609,e,w,e,a,g
1610,e,w,e,a,g
1611,e,w,p,y,u
1612,p,w,p,s,u
1613,p,w,p,v,g
1614,e,w,p,v,d
1615,e,w,e,a,g
1616,e,w,e,a,g
1617,e,w,e,s,g
1618,e,w,e,s,g
1619,e,w,e,s,g
1620,e,w,e,a,g
1621,e,w,e,s,g
1622,e,w,e,a,g
1623,e,w,p,v,d
1624,p,w,p,v,u
1625,e,w,e,s,g
1626,e,w,p,v,d
1627,p,w,p,s,u
1628,p,w,p,v,g
1629,p,w,p,s,u
1630,e,w,e,a,g
1631,e,w,e,s,g
1632,e,w,e,a,g
1633,e,w,e,a,g
1634,e,w,e,a,g
1635,p,w,p,v,g
1636,p,w,p,v,g
1637,e,w,e,a,g
1638,e,w,e,a,g
1639,e,w,e,s,g
1640,e,w,p,v,d
1641,e,w,p,v,d
1642,e,w,e,a,g
1643,e,w,e,s,g
1644,e,w,e,a,g
1645,e,w,p,n,m
1646,e,w,e,a,g
1647,e,w,e,s,g
1648,e,w,e,s,g
1649,e,w,e,a,g
1650,e,w,e,s,g
1651,e,w,e,s,g
1652,e,w,e,s,g
1653,e,w,e,s,g
1654,e,w,e,s,g
1655,e,w,e,a,g
1656,e,w,e,s,g
1657,e,w,e,s,g
1658,e,w,e,a,g
1659,e,w,e,s,g
1660,e,w,e,a,g
1661,e,w,p,n,g
1662,e,w,p,n,g
1663,e,w,e,a,g
1664,p,w,p,s,g
1665,e,w,e,s,g
1666,p,w,p,s,u
1667,e,w,p,v,d
1668,p,w,p,v,u
1669,e,w,p,s,g
1670,e,w,p,n,m
1671,e,w,p,y,p
1672,e,w,e,s,g
1673,e,w,e,s,g
1674,e,w,e,a,g
1675,e,w,e,a,g
1676,e,w,e,s,g
1677,e,w,e,a,g
1678,e,w,e,s,g
1679,e,w,p,n,g
1680,e,w,e,s,g
1681,e,w,p,s,m
1682,p,w,p,v,g
1683,e,w,e,s,g
1684,e,w,e,s,g
1685,e,w,e,s,g
1686,e,w,e,s,g
1687,e,w,p,y,d
1688,e,w,p,y,d
1689,e,w,p,y,p
1690,e,w,p,y,d
1691,e,w,e,a,g
1692,e,w,e,s,g
1693,e,w,e,a,g
1694,e,w,e,a,g
1695,e,w,e,s,g
1696,e,w,e,a,g
1697,e,w,e,a,g
1698,e,w,e,a,g
1699,e,w,p,y,d
1700,e,w,e,s,g
1701,e,w,e,s,g
1702,p,w,p,s,g
1703,e,w,p,y,d
1704,e,w,e,s,g
1705,e,w,e,s,g
1706,p,w,p,v,u
1707,e,w,e,s,g
1708,e,w,p,v,d
1709,e,w,e,a,g
1710,e,w,e,s,g
1711,e,w,p,v,d
1712,e,w,e,a,g
1713,e,w,e,a,g
1714,e,w,p,y,d
1715,e,w,p,n,g
1716,e,w,p,n,m
1717,e,w,e,s,g
1718,e,w,e,a,g
1719,e,w,e,s,g
1720,e,w,e,a,g
1721,e,w,e,a,g
1722,e,w,e,s,g
1723,e,w,p,n,m
1724,p,w,p,v,g
1725,e,w,e,a,g
1726,e,w,e,s,g
1727,e,w,p,s,g
1728,e,w,e,a,g
1729,e,w,e,a,g
1730,p,w,p,v,u
1731,e,w,e,a,g
1732,e,w,e,s,g
1733,p,w,p,v,g
1734,e,w,e,a,g
1735,e,w,e,a,g
1736,e,w,p,v,d
1737,e,w,e,s,g
1738,p,w,p,v,u
1739,e,w,e,a,g
1740,e,w,e,s,g
1741,e,w,e,s,g
1742,e,w,e,a,g
1743,e,w,p,y,g
1744,p,w,p,s,g
1745,e,w,e,a,g
1746,e,w,p,y,u
1747,p,w,p,s,u
1748,e,w,e,s,g
1749,e,w,e,s,g
1750,e,w,p,y,p
1751,e,w,e,s,g
1752,e,w,e,a,g
1753,p,w,p,s,g
1754,e,w,e,s,g
1755,e,w,e,s,g
1756,e,w,e,s,g
1757,e,w,p,v,d
1758,e,w,e,s,g
1759,e,w,e,a,g
1760,e,w,e,s,g
1761,e,w,e,s,g
1762,e,w,p,y,d
1763,e,w,e,s,g
1764,p,w,p,s,u
1765,e,w,e,a,g
1766,e,w,e,s,g
1767,e,w,p,v,d
1768,e,w,p,y,g
1769,e,w,e,a,g
1770,e,w,e,a,g
1771,e,w,e,a,g
1772,e,w,p,s,g
1773,e,w,p,y,d
1774,e,w,e,a,g
1775,e,w,e,a,g
1776,p,w,p,s,u
1777,p,w,p,v,u
1778,e,w,e,a,g
1779,e,w,p,v,u
1780,e,w,e,s,g
1781,e,w,e,a,g
1782,p,w,p,s,g
1783,e,w,p,s,g
1784,e,w,e,a,g
1785,p,w,p,s,u
1786,e,w,e,a,g
1787,e,w,e,s,g
1788,e,w,e,s,g
1789,p,w,p,v,u
1790,e,w,e,a,g
1791,e,w,e,a,g
1792,e,w,e,s,g
1793,e,w,e,a,g
1794,p,w,p,v,g
1795,e,w,e,s,g
1796,e,w,e,a,g
1797,p,w,p,v,u
1798,e,w,e,a,g
1799,e,w,p,v,d
1800,e,w,e,a,g
1801,e,w,p,v,d
1802,e,w,p,v,d
1803,e,w,p,y,d
1804,e,w,p,v,d
1805,e,w,e,s,g
1806,e,w,p,y,d
1807,e,w,p,y,d
1808,e,w,e,s,g
1809,p,w,p,s,g
1810,e,w,p,v,d
1811,p,w,p,v,g
1812,e,w,p,s,g
1813,e,w,e,a,g
1814,e,w,p,s,g
1815,p,w,l,y,g
1816,e,w,e,a,g
1817,e,w,e,s,g
1818,e,w,p,v,d
1819,e,w,e,s,g
1820,e,w,e,s,g
1821,p,w,p,v,u
1822,e,w,p,y,d
1823,e,w,p,n,g
1824,e,w,e,s,g
1825,e,w,p,v,d
1826,e,w,e,s,g
1827,e,w,e,a,g
1828,e,w,p,v,d
1829,e,w,p,y,d
1830,e,w,p,v,d
1831,e,w,e,a,g
1832,e,w,p,v,d
1833,e,w,p,v,d
1834,e,w,p,v,d
1835,e,w,p,y,d
1836,e,w,e,s,g
1837,e,w,p,y,d
1838,e,w,e,s,g
1839,e,w,e,a,g
1840,e,w,e,a,g
1841,e,w,p,v,d
1842,p,w,p,s,u
1843,e,w,p,v,d
1844,e,w,e,s,g
1845,e,w,e,a,g
1846,e,w,p,v,d
1847,e,w,p,v,d
1848,e,w,p,v,d
1849,e,w,p,v,d
1850,e,w,e,a,g
1851,e,w,p,v,d
1852,e,w,p,v,d
1853,e,w,p,y,d
1854,e,w,p,y,d
1855,e,w,p,v,d
1856,e,w,p,v,d
1857,p,w,p,v,g
1858,e,w,e,s,g
1859,e,w,p,y,d
1860,e,w,p,v,d
1861,e,w,e,a,g
1862,e,w,p,y,d
1863,e,w,e,s,g
1864,e,w,p,y,d
1865,e,w,p,v,d
1866,e,w,e,a,g
1867,e,w,e,a,g
1868,e,w,e,s,g
1869,e,w,e,s,g
1870,e,w,p,y,d
1871,e,w,e,a,g
1872,e,w,e,a,g
1873,e,w,p,v,d
1874,e,w,p,y,d
1875,e,w,p,v,d
1876,e,w,p,y,d
1877,e,w,e,s,g
1878,e,w,e,a,g
1879,e,w,e,a,g
1880,e,w,e,a,g
1881,e,w,p,v,d
1882,e,w,p,y,d
1883,e,w,p,v,d
1884,e,w,p,v,d
1885,e,w,e,a,g
1886,p,w,p,s,g
1887,e,w,p,v,d
1888,e,w,p,v,d
1889,e,w,e,a,g
1890,e,w,e,a,g
1891,e,w,e,a,g
1892,e,w,e,a,g
1893,e,w,e,a,g
1894,e,w,p,v,d
1895,e,w,p,y,d
1896,e,w,e,s,g
1897,e,w,e,a,g
1898,e,w,e,s,g
1899,e,w,p,y,d
1900,e,w,e,a,g
1901,e,w,e,a,g
1902,e,w,e,s,g
1903,e,w,e,s,g
1904,e,w,e,a,g
1905,e,w,e,a,g
1906,e,w,p,v,d
1907,e,w,e,a,g
1908,e,w,e,s,g
1909,e,w,p,v,d
1910,e,w,p,v,d
1911,e,w,p,v,d
1912,e,w,e,s,g
1913,e,w,e,a,g
1914,e,w,p,y,g
1915,p,w,p,v,u
1916,e,w,e,a,g
1917,e,w,e,s,g
1918,e,w,p,v,d
1919,e,w,p,y,d
1920,e,w,e,a,g
1921,e,w,e,s,g
1922,e,w,e,s,g
1923,e,w,p,v,d
1924,e,w,p,v,d
1925,e,w,e,s,g
1926,e,w,e,a,g
1927,e,w,e,s,g
1928,e,w,e,s,g
1929,p,w,p,s,u
1930,e,w,p,s,g
1931,e,w,p,v,d
1932,e,w,e,a,g
1933,e,w,e,s,g
1934,e,w,e,s,g
1935,e,w,p,v,d
1936,e,w,e,a,g
1937,e,w,e,a,g
1938,e,w,e,s,g
1939,e,w,p,v,d
1940,e,w,p,v,d
1941,e,w,p,v,d
1942,e,w,e,s,g
1943,e,w,e,s,g
1944,p,w,p,v,u
1945,e,w,e,s,g
1946,e,w,p,y,d
1947,e,w,p,v,d
1948,e,w,e,a,g
1949,e,w,p,v,d
1950,e,w,p,v,d
1951,e,w,p,y,d
1952,e,w,p,v,d
1953,e,w,p,v,d
1954,p,w,p,v,g
1955,e,w,e,s,g
1956,e,w,p,v,d
1957,e,w,p,y,d
1958,p,w,p,s,g
1959,e,w,p,y,d
1960,e,w,e,s,g
1961,e,w,p,v,d
1962,e,w,e,s,g
1963,e,w,e,a,g
1964,e,w,e,s,g
1965,e,w,p,v,d
1966,e,w,e,s,g
1967,e,w,p,v,d
1968,e,w,e,s,g
1969,e,w,e,a,g
1970,e,w,e,s,g
1971,p,w,p,v,u
1972,e,w,p,y,d
1973,e,w,e,s,g
1974,p,w,p,s,g
1975,e,w,p,v,d
1976,e,w,p,y,d
1977,e,w,e,a,g
1978,e,w,p,v,d
1979,e,w,e,s,g
1980,e,w,e,s,g
1981,e,w,p,n,m
1982,e,w,e,s,g
1983,e,w,p,v,d
1984,e,w,p,y,d
1985,e,w,e,a,g
1986,p,w,p,s,u
1987,e,w,p,v,d
1988,p,w,p,s,u
1989,p,w,p,v,g
1990,e,w,p,v,d
1991,e,w,e,a,g
1992,e,w,p,y,d
1993,e,w,e,a,g
1994,e,w,p,y,d
1995,e,w,e,s,g
1996,e,w,e,a,g
1997,e,w,e,a,g
1998,e,w,e,s,g
1999,e,w,p,v,d
2000,e,w,p,v,d
2001,e,w,e,a,g
2002,e,w,p,y,d
2003,p,w,p,v,u
2004,e,w,p,s,g
2005,p,w,p,s,g
2006,e,w,e,s,g
2007,e,w,e,a,g
2008,p,w,p,v,g
2009,e,w,e,a,g
2010,e,w,e,s,g
2011,e,w,p,v,d
2012,e,w,e,a,g
2013,e,w,e,s,g
2014,e,w,e,a,g
2015,e,w,e,s,g
2016,e,w,p,v,d
2017,e,w,p,v,d
2018,e,w,e,a,g
2019,e,w,p,y,d
2020,e,w,p,y,d
2021,e,w,p,y,d
2022,e,w,e,s,g
2023,e,w,p,y,d
2024,e,w,p,v,d
2025,e,w,e,a,g
2026,e,w,p,v,d
2027,e,w,e,a,g
2028,e,w,p,s,m
2029,e,w,p,v,d
2030,e,w,e,s,g
2031,e,w,p,y,d
2032,e,w,p,y,d
2033,e,w,p,v,d
2034,e,w,e,a,g
2035,e,w,e,s,g
2036,e,w,e,a,g
2037,e,w,e,a,g
2038,e,w,p,y,d
2039,e,w,p,y,d
2040,e,w,p,y,d
2041,e,w,e,s,g
2042,e,w,e,s,g
2043,e,w,e,s,g
2044,e,w,p,s,p
2045,e,w,p,v,d
2046,e,w,e,s,g
2047,e,w,p,v,d
2048,e,w,p,y,d
2049,e,w,e,a,g
2050,e,w,p,s,m
2051,e,w,e,s,g
2052,e,w,e,a,g
2053,e,w,p,v,d
2054,e,w,e,s,g
2055,e,w,p,v,d
2056,e,w,p,y,d
2057,e,w,e,a,g
2058,e,w,p,n,m
2059,e,w,e,s,g
2060,p,w,p,v,g
2061,e,w,e,s,g
2062,e,w,p,v,d
2063,e,w,e,s,g
2064,e,w,p,v,d
2065,e,w,p,v,d
2066,p,w,p,v,u
2067,e,w,e,a,g
2068,e,w,p,y,d
2069,e,w,p,y,d
2070,e,w,p,v,d
2071,e,w,p,y,d
2072,e,w,p,y,d
2073,p,w,p,v,u
2074,e,w,p,n,m
2075,e,w,p,v,d
2076,e,w,p,y,d
2077,e,w,e,s,g
2078,e,w,p,y,d
2079,e,w,e,s,g
2080,e,w,e,s,g
2081,e,w,p,v,d
2082,e,w,p,v,d
2083,e,w,e,s,g
2084,e,w,e,s,g
2085,e,w,e,s,g
2086,e,w,p,y,d
2087,e,w,p,y,d
2088,p,w,p,s,u
2089,e,w,p,v,d
2090,e,w,e,a,g
2091,e,w,p,s,m
2092,e,w,e,s,g
2093,e,w,e,s,g
2094,e,w,p,y,d
2095,e,w,p,v,d
2096,e,w,e,s,g
2097,p,w,p,s,g
2098,e,w,e,a,g
2099,e,w,p,y,d
2100,e,w,p,v,d
2101,e,w,p,v,d
2102,e,w,p,y,d
2103,e,w,p,y,d
2104,e,w,p,y,d
2105,e,w,p,v,d
2106,e,w,p,y,d
2107,e,w,p,v,d
2108,e,w,p,v,d
2109,e,w,p,v,d
2110,e,w,p,v,d
2111,p,w,p,v,g
2112,e,w,p,v,d
2113,e,w,p,v,d
2114,e,w,p,y,d
2115,e,w,p,y,d
2116,e,w,p,v,d
2117,e,w,p,v,d
2118,e,w,p,v,d
2119,e,w,p,y,d
2120,e,w,p,y,d
2121,e,w,p,v,d
2122,e,w,p,v,d
2123,e,w,p,v,d
2124,e,w,p,v,d
2125,e,w,p,y,d
2126,e,w,p,v,d
2127,p,w,l,y,g
2128,p,w,p,s,g
2129,e,w,p,v,d
2130,e,w,e,s,g
2131,e,w,p,v,d
2132,e,w,p,y,d
2133,e,w,p,v,d
2134,e,w,p,y,d
2135,e,w,p,v,d
2136,e,w,p,v,d
2137,e,w,p,y,d
2138,e,w,p,y,d
2139,e,w,p,v,d
2140,e,w,p,v,d
2141,e,w,p,y,d
2142,e,w,p,y,d
2143,e,w,p,v,d
2144,e,w,p,v,d
2145,e,w,p,v,d
2146,p,w,p,v,u
2147,e,w,p,y,d
2148,p,w,p,s,g
2149,e,w,p,y,d
2150,e,w,p,y,d
2151,e,w,p,v,d
2152,e,w,p,v,d
2153,e,w,p,y,d
2154,e,w,p,v,d
2155,e,w,p,y,d
2156,e,w,p,v,d
2157,e,w,p,y,d
2158,e,w,p,v,d
2159,e,w,p,y,d
2160,e,w,p,y,d
2161,e,w,p,v,d
2162,e,w,p,y,d
2163,e,w,p,y,d
2164,e,w,p,y,d
2165,e,w,p,y,d
2166,e,w,p,y,d
2167,e,w,p,y,d
2168,e,w,p,v,d
2169,e,w,p,v,d
2170,e,w,p,v,d
2171,e,w,p,v,d
2172,e,w,p,v,d
2173,e,w,p,y,d
2174,e,w,p,v,d
2175,e,w,p,y,d
2176,e,w,p,v,d
2177,p,w,l,y,d
2178,e,w,p,y,d
2179,e,w,p,y,d
2180,e,w,p,v,d
2181,e,w,p,y,d
2182,e,w,p,v,d
2183,e,w,p,v,d
2184,e,w,p,y,d
2185,e,w,p,y,d
2186,e,w,p,y,d
2187,e,w,p,v,d
2188,e,w,p,v,d
2189,e,w,p,v,d
2190,e,w,p,y,d
2191,e,w,e,s,g
2192,e,w,p,y,d
2193,e,w,p,y,d
2194,e,w,p,v,d
2195,e,w,p,v,d
2196,e,w,p,y,d
2197,e,w,p,v,d
2198,e,w,p,y,d
2199,e,w,e,a,g
2200,e,w,p,y,d
2201,e,w,p,v,d
2202,e,w,p,y,d
2203,e,w,p,y,d
2204,e,w,p,v,d
2205,e,w,p,v,d
2206,e,w,p,y,d
2207,e,w,p,y,d
2208,e,w,p,v,d
2209,p,w,p,s,d
2210,e,w,p,y,d
2211,e,w,p,v,d
2212,e,w,p,y,d
2213,e,w,p,v,d
2214,e,w,p,v,d
2215,e,w,p,y,d
2216,e,w,p,v,d
2217,e,w,p,v,d
2218,e,w,p,v,d
2219,e,w,p,v,d
2220,e,w,p,v,d
2221,e,w,p,v,d
2222,e,w,p,v,d
2223,e,w,p,y,d
2224,e,w,p,v,d
